央视卫视2,#genre#
CCTV-13新闻[1920x1080],https://pi.0472.org/tv/mzt.php?auth=230918
CCTV-1HD[1920x1080],http://27.16.178.143:4567/rtp/239.254.96.96:8550
CCTV-2HD(财经)[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.102:10250
CCTV-3HD(综艺)[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.122:10370
CCTV-4HD(中文国际)[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.138:10466
CCTV-5HD(体育)[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.123:10376
CCTV-5+HD[1920x1080],http://27.16.178.143:4567/rtp/239.254.96.234:9484
CCTV-6HD(电影)[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.124:10382
CCTV-7HD(国防军事)[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.103:10256
CCTV-8HD(电视剧)[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.125:10388
CCTV-9HD(记录)[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.104:10262
CCTV-10HD(科教)[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.105:10268
CCTV-11HD(戏曲）[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.154:10560
CCTV-12HD(社会与法)[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.106:10274
CCTV-13HD(新闻)[1920x1080],http://27.16.178.143:4567/rtp/239.254.96.161:9040
CCTV-14HD(少儿)[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.107:10280
CCTV-15HD(音乐)[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.155:10566
CCTV-17HD(农业农村)[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.152:10548
湖北卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.254.96.115:8664
湖南卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.254.96.139:8908
东方卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.254.96.142:8926
江苏卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.174:10680
浙江卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.254.96.143:8932
江苏卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.254.96.144:8938
广东卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.254.96.140:8914
北京卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.254.96.141:8920
天津卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.68:10048
山东卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.69:10054
安徽卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.70:10060
辽宁卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.71:10066
深圳卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.254.96.137:8896
黑龙江卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.254.96.138:8902
东南卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.108:10286
河北卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.254.96.113:9616
江西卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.126:10394
重庆卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.149:10530
贵州卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.150:10536
海南卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.151:10542
河北卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.157:10578
河南卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.168:10644
四川卫视HD[1920x1080],http://27.16.178.143:4567/rtp/239.69.1.169:10650
